Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport (deep water) [kW/m],Hydrodynamic Efficiency (deep water) [ ],Simulation Terminal Condition
0,20,0.25,5,10,0,10000,0.077386880186681,0.153314084905841,0.0504760408896604,COMPLETE
1,20,0.25,5,10,0,100000,0.524493604237667,0.153314084905841,0.342103991658554,COMPLETE
10,20,0.25,5,10,500,10000,0.350783389684306,0.153314084905841,0.228800497944949,COMPLETE
100,20,0.25,5,50,0,10000,0.020569174075825,0.153314084905841,0.00268327258887632,COMPLETE
1000,20,8.578125,7.5,10,0,10000,35.8611940457133,270.755967801008,0.0132448397488581,COMPLETE
10000,80,0.5625,7.5,10,0,10000,0.460034137843712,1.16422883225373,0.0395140650273342,COMPLETE
10001,80,0.5625,7.5,10,0,100000,1.44808841687135,1.16422883225373,0.124381769009115,COMPLETE
10002,80,0.5625,7.5,10,0,1000000,2.08089809810759,1.16422883225373,0.178736176296146,COMPLETE
10003,80,0.5625,7.5,10,0,10000000,0.318967884501457,1.16422883225373,0.0273973531375266,COMPLETE
10004,80,0.5625,7.5,10,0,100000000,0.0189767349696264,1.16422883225373,0.00162998325104962,COMPLETE
10005,80,0.5625,7.5,10,250,10000,0.516846094717137,1.16422883225373,0.0443938580112828,COMPLETE
10006,80,0.5625,7.5,10,250,100000,1.54963789379304,1.16422883225373,0.133104236114238,COMPLETE
10007,80,0.5625,7.5,10,250,1000000,2.16638105784394,1.16422883225373,0.186078629718371,COMPLETE
10008,80,0.5625,7.5,10,250,10000000,0.258890893291344,1.16422883225373,0.0222371140551621,COMPLETE
10009,80,0.5625,7.5,10,250,100000000,0.0272436369188172,1.16422883225373,0.00234005860051401,COMPLETE
1001,20,8.578125,7.5,10,0,100000,226.896796941301,270.755967801008,0.0838012173043066,COMPLETE
10010,80,0.5625,7.5,10,500,10000,0.988422788729837,1.16422883225373,0.0848993566682621,COMPLETE
10011,80,0.5625,7.5,10,500,100000,1.55383953479534,1.16422883225373,0.133465130887319,COMPLETE
10012,80,0.5625,7.5,10,500,1000000,1.79631284411528,1.16422883225373,0.154292076810875,COMPLETE
10013,80,0.5625,7.5,10,500,10000000,0.308807395521255,1.16422883225373,0.0265246304649114,COMPLETE
10014,80,0.5625,7.5,10,500,100000000,0.0261412934922794,1.16422883225373,0.00224537417113049,COMPLETE
10015,80,0.5625,7.5,10,750,10000,0.29150434414706,1.16422883225373,0.0250384062025643,COMPLETE
10016,80,0.5625,7.5,10,750,100000,1.40741969701712,1.16422883225373,0.120888579463594,COMPLETE
10017,80,0.5625,7.5,10,750,1000000,1.91754485561891,1.16422883225373,0.164705150954465,COMPLETE
10018,80,0.5625,7.5,10,750,10000000,0.305701776977812,1.16422883225373,0.0262578771894895,COMPLETE
10019,80,0.5625,7.5,10,750,100000000,0.0220416143807619,1.16422883225373,0.00189323728893515,COMPLETE
1002,20,8.578125,7.5,10,0,1000000,315.693064434042,270.755967801008,0.116596899783225,COMPLETE
10020,80,0.5625,7.5,10,1000,10000,0.288609354923366,1.16422883225373,0.0247897446728468,COMPLETE
10021,80,0.5625,7.5,10,1000,100000,1.33655178484328,1.16422883225373,0.11480146753074,COMPLETE
10022,80,0.5625,7.5,10,1000,1000000,1.85797468834172,1.16422883225373,0.159588444888882,COMPLETE
10023,80,0.5625,7.5,10,1000,10000000,0.257308941203426,1.16422883225373,0.0221012342311884,COMPLETE
10024,80,0.5625,7.5,10,1000,100000000,0.0254165236791177,1.16422883225373,0.0021831209617027,COMPLETE
10025,80,0.5625,7.5,20,0,10000,0.216142998914451,1.16422883225373,0.0092826681888662,COMPLETE
10026,80,0.5625,7.5,20,0,100000,2.64078068253071,1.16422883225373,0.1134133002624,COMPLETE
10027,80,0.5625,7.5,20,0,1000000,12.4180833114268,1.16422883225373,0.533317976990301,COMPLETE
10028,80,0.5625,7.5,20,0,10000000,4.02510448535972,1.16422883225373,0.17286569331769,COMPLETE
10029,80,0.5625,7.5,20,0,100000000,0.573125231458246,1.16422883225373,0.0246139425334787,COMPLETE
1003,20,8.578125,7.5,10,0,10000000,43.5465129083232,270.755967801008,0.0160833067732519,COMPLETE
10030,80,0.5625,7.5,20,250,10000,0.400092140522786,1.16422883225373,0.0171827105393139,COMPLETE
10031,80,0.5625,7.5,20,250,100000,3.61517471847083,1.16422883225373,0.155260487385136,COMPLETE
10032,80,0.5625,7.5,20,250,1000000,9.34648544968775,1.16422883225373,0.401402421532316,COMPLETE
10033,80,0.5625,7.5,20,250,10000000,3.07488751227121,1.16422883225373,0.132056835696072,COMPLETE
10034,80,0.5625,7.5,20,250,100000000,0.546107946687702,1.16422883225373,0.0234536343525585,COMPLETE
10035,80,0.5625,7.5,20,500,10000,1.65576696760371,1.16422883225373,0.0711100310236458,COMPLETE
10036,80,0.5625,7.5,20,500,100000,2.92328911256018,1.16422883225373,0.1255461568883,COMPLETE
10037,80,0.5625,7.5,20,500,1000000,12.3559963678125,1.16422883225373,0.530651536257419,COMPLETE
10038,80,0.5625,7.5,20,500,10000000,4.91918585878673,1.16422883225373,0.211263701881704,COMPLETE
10039,80,0.5625,7.5,20,500,100000000,0.484902331316739,1.16422883225373,0.0208250439210502,COMPLETE
1004,20,8.578125,7.5,10,0,100000000,4.36733767573627,270.755967801008,0.00161301621944158,COMPLETE
10040,80,0.5625,7.5,20,750,10000,0.461588912967908,1.16422883225373,0.0198238052597597,COMPLETE
10041,80,0.5625,7.5,20,750,100000,2.83612400032886,1.16422883225373,0.121802686969994,COMPLETE
10042,80,0.5625,7.5,20,750,1000000,10.4713126118714,1.16422883225373,0.449710242598995,COMPLETE
10043,80,0.5625,7.5,20,750,10000000,4.91044390764184,1.16422883225373,0.210888262324518,COMPLETE
10044,80,0.5625,7.5,20,750,100000000,0.654963337365232,1.16422883225373,0.0281286341318891,COMPLETE
10045,80,0.5625,7.5,20,1000,10000,0.89969963475106,1.16422883225373,0.0386392953784442,COMPLETE
10046,80,0.5625,7.5,20,1000,100000,3.70764774155217,1.16422883225373,0.159231915532226,COMPLETE
10047,80,0.5625,7.5,20,1000,1000000,9.44525786227023,1.16422883225373,0.405644388826292,COMPLETE
10048,80,0.5625,7.5,20,1000,10000000,5.75155808316782,1.16422883225373,0.247011494812144,COMPLETE
10049,80,0.5625,7.5,20,1000,100000000,0.517523551942182,1.16422883225373,0.0222260236821465,COMPLETE
1005,20,8.578125,7.5,10,250,10000,40.0843600773214,270.755967801008,0.0148046081506064,COMPLETE
10050,80,0.5625,7.5,30,0,10000,0.860895559960669,1.16422883225373,0.0246485208666449,COMPLETE
10051,80,0.5625,7.5,30,0,100000,3.38836840426892,1.16422883225373,0.0970132420247565,COMPLETE
10052,80,0.5625,7.5,30,0,1000000,15.1614680950204,1.16422883225373,0.434091869083578,COMPLETE
10053,80,0.5625,7.5,30,0,10000000,15.7341134603307,1.16422883225373,0.450487424935537,COMPLETE
10054,80,0.5625,7.5,30,0,100000000,2.38143839804031,1.16422883225373,0.0681835715930603,COMPLETE
10055,80,0.5625,7.5,30,250,10000,0.271231190843004,1.16422883225373,0.00776568956574031,COMPLETE
10056,80,0.5625,7.5,30,250,100000,5.79398089631748,1.16422883225373,0.165888948283515,COMPLETE
10057,80,0.5625,7.5,30,250,1000000,13.6675269823265,1.16422883225373,0.391318459157459,COMPLETE
10058,80,0.5625,7.5,30,250,10000000,16.2365995436323,1.16422883225373,0.464874232447966,COMPLETE
10059,80,0.5625,7.5,30,250,100000000,1.93059022405706,1.16422883225373,0.0552752222636449,COMPLETE
1006,20,8.578125,7.5,10,250,100000,255.29166160073,270.755967801008,0.0942884707857506,COMPLETE
10060,80,0.5625,7.5,30,500,10000,1.05288024132191,1.16422883225373,0.0301452833599082,COMPLETE
10061,80,0.5625,7.5,30,500,100000,1.92432583293102,1.16422883225373,0.0550958648798129,COMPLETE
10062,80,0.5625,7.5,30,500,1000000,15.9054028912001,1.16422883225373,0.455391656421193,COMPLETE
10063,80,0.5625,7.5,30,500,10000000,19.8938298036064,1.16422883225373,0.569585326998407,COMPLETE
10064,80,0.5625,7.5,30,500,100000000,2.55178752543734,1.16422883225373,0.0730608810096081,COMPLETE
10065,80,0.5625,7.5,30,750,10000,1.19809702662292,1.16422883225373,0.0343030222647789,COMPLETE
10066,80,0.5625,7.5,30,750,100000,2.48064980100005,1.16422883225373,0.0710241186347639,COMPLETE
10067,80,0.5625,7.5,30,750,1000000,12.5626442445124,1.16422883225373,0.359684279025955,COMPLETE
10068,80,0.5625,7.5,30,750,10000000,17.0031784101453,1.16422883225373,0.486822347952287,COMPLETE
10069,80,0.5625,7.5,30,750,100000000,2.69494973954714,1.16422883225373,0.0771597949614487,COMPLETE
1007,20,8.578125,7.5,10,250,1000000,300.252619435189,270.755967801008,0.110894183376176,COMPLETE
10070,80,0.5625,7.5,30,1000,10000,0.402152927999619,1.16422883225373,0.0115141432926356,COMPLETE
10071,80,0.5625,7.5,30,1000,100000,4.30547542812557,1.16422883225373,0.123271167684763,COMPLETE
10072,80,0.5625,7.5,30,1000,1000000,14.608822038955,1.16422883225373,0.418268918567468,COMPLETE
10073,80,0.5625,7.5,30,1000,10000000,17.4662943077827,1.16422883225373,0.500081937613909,COMPLETE
10074,80,0.5625,7.5,30,1000,100000000,2.6028570232465,1.16422883225373,0.0745230648573858,COMPLETE
10075,80,0.5625,7.5,40,0,10000,0.457451462992128,1.16422883225373,0.00982305733887785,COMPLETE
