Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport [kW/m],Hydrodynamic Efficiency [ ],Simulation Terminal Condition
0,20,0.25,5,10,0,10000,0.120917000291689,0.153314084905841,0.0788688138900947,COMPLETE
1,20,0.25,5,10,0,100000,0.819521256621355,0.153314084905841,0.534537486966492,COMPLETE
10,20,0.25,5,10,500,10000,0.548099046381728,0.153314084905841,0.357500778038983,COMPLETE
100,20,0.25,5,50,0,10000,0.0208696977230367,0.153314084905841,0.00272247624683068,COMPLETE
1000,20,8.578125,7.5,10,0,10000,56.033115696427,270.755967801008,0.0206950621075907,COMPLETE
10000,80,0.5625,7.5,10,0,10000,0.7188033403808,1.16422883225373,0.0617407266052097,COMPLETE
10001,80,0.5625,7.5,10,0,100000,2.26263815136148,1.16422883225373,0.194346514076742,COMPLETE
10002,80,0.5625,7.5,10,0,1000000,3.25140327829311,1.16422883225373,0.279275275462729,COMPLETE
10003,80,0.5625,7.5,10,0,10000000,0.498387319533526,1.16422883225373,0.0428083642773854,COMPLETE
10004,80,0.5625,7.5,10,0,100000000,0.0296511483900413,1.16422883225373,0.00254684882976504,COMPLETE
10005,80,0.5625,7.5,10,250,10000,0.807572022995526,1.16422883225373,0.0693654031426295,COMPLETE
10006,80,0.5625,7.5,10,250,100000,2.42130920905163,1.16422883225373,0.207975368928498,COMPLETE
10007,80,0.5625,7.5,10,250,1000000,3.38497040288115,1.16422883225373,0.290747858934955,COMPLETE
10008,80,0.5625,7.5,10,250,10000000,0.404517020767725,1.16422883225373,0.0347454907111908,COMPLETE
10009,80,0.5625,7.5,10,250,100000000,0.0425681826856519,1.16422883225373,0.00365634156330314,COMPLETE
1001,20,8.578125,7.5,10,0,100000,354.526245220783,270.755967801008,0.130939402037979,COMPLETE
10010,80,0.5625,7.5,10,500,10000,1.54441060739037,1.16422883225373,0.132655244794159,COMPLETE
10011,80,0.5625,7.5,10,500,100000,2.42787427311772,1.16422883225373,0.208539267011435,COMPLETE
10012,80,0.5625,7.5,10,500,1000000,2.80673881893013,1.16422883225373,0.241081370016993,COMPLETE
10013,80,0.5625,7.5,10,500,10000000,0.482511555501961,1.16422883225373,0.0414447351014241,COMPLETE
10014,80,0.5625,7.5,10,500,100000000,0.0408457710816866,1.16422883225373,0.0035083971423914,COMPLETE
10015,80,0.5625,7.5,10,750,10000,0.455475537729781,1.16422883225373,0.0391225096915068,COMPLETE
10016,80,0.5625,7.5,10,750,100000,2.19909327658925,1.16422883225373,0.188888405411866,COMPLETE
10017,80,0.5625,7.5,10,750,1000000,2.99616383690454,1.16422883225373,0.257351798366351,COMPLETE
10018,80,0.5625,7.5,10,750,10000000,0.477659026527832,1.16422883225373,0.0410279331085774,COMPLETE
10019,80,0.5625,7.5,10,750,100000000,0.0344400224699404,1.16422883225373,0.00295818326396117,COMPLETE
1002,20,8.578125,7.5,10,0,1000000,493.270413178191,270.755967801008,0.182182655911289,COMPLETE
10020,80,0.5625,7.5,10,1000,10000,0.450952117067759,1.16422883225373,0.0387339760513232,COMPLETE
10021,80,0.5625,7.5,10,1000,100000,2.08836216381762,1.16422883225373,0.179377293016781,COMPLETE
10022,80,0.5625,7.5,10,1000,1000000,2.90308545053394,1.16422883225373,0.249356945138879,COMPLETE
10023,80,0.5625,7.5,10,1000,10000000,0.402045220630353,1.16422883225373,0.0345331784862318,COMPLETE
10024,80,0.5625,7.5,10,1000,100000000,0.0397133182486214,1.16422883225373,0.00341112650266047,COMPLETE
10025,80,0.5625,7.5,20,0,10000,0.237519779026869,1.16422883225373,0.0102007342734793,COMPLETE
10026,80,0.5625,7.5,20,0,100000,2.90195679398979,1.16422883225373,0.124630000288352,COMPLETE
10027,80,0.5625,7.5,20,0,1000000,13.6462453971723,1.16422883225373,0.586063710978352,COMPLETE
10028,80,0.5625,7.5,20,0,10000000,4.42319174215354,1.16422883225373,0.189962300349111,COMPLETE
10029,80,0.5625,7.5,20,0,100000000,0.629807946657413,1.16422883225373,0.0270482884983282,COMPLETE
1003,20,8.578125,7.5,10,0,10000000,68.041426419255,270.755967801008,0.0251301668332061,COMPLETE
10030,80,0.5625,7.5,20,250,10000,0.439661692882182,1.16422883225373,0.0188820994937516,COMPLETE
10031,80,0.5625,7.5,20,250,100000,3.97271947084707,1.16422883225373,0.170615920203446,COMPLETE
10032,80,0.5625,7.5,20,250,1000000,10.270863131525,1.16422883225373,0.441101562123426,COMPLETE
10033,80,0.5625,7.5,20,250,10000000,3.3789972662321,1.16422883225373,0.145117401863816,COMPLETE
10034,80,0.5625,7.5,20,250,100000000,0.600118622733739,1.16422883225373,0.0257732245632511,COMPLETE
