Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport [kW/m],Hydrodynamic Efficiency [  ],Simulation Terminal Condition
0,20,0.25,5,10,0,10000,0.112927235710589,0.153314084905841,0.0736574436588418,COMPLETE
1,20,0.25,5,10,0,100000,0.768012602064587,0.153314084905841,0.500940668651722,COMPLETE
10,20,0.25,5,10,500,10000,0.507761683423738,0.153314084905841,0.331190499382744,COMPLETE
100,20,0.25,5,50,0,10000,0.0199332638934733,0.153314084905841,0.00260031736884651,COMPLETE
1000,20,8.578125,7.5,10,0,10000,53.638887023475,270.755967801008,0.0198107866131678,COMPLETE
10000,80,0.5625,7.5,10,0,10000,0.678306702702657,1.16422883225373,0.0582623178460185,COMPLETE
10001,80,0.5625,7.5,10,0,100000,2.12656408017021,1.16422883225373,0.182658599517208,COMPLETE
10002,80,0.5625,7.5,10,0,1000000,3.00926266594711,1.16422883225373,0.258476906135518,COMPLETE
10003,80,0.5625,7.5,10,0,10000000,0.465481771369541,1.16422883225373,0.0399819827918585,COMPLETE
10004,80,0.5625,7.5,10,0,100000000,0.0276649822413829,1.16422883225373,0.00237624953745809,COMPLETE
10005,80,0.5625,7.5,10,250,10000,0.749194943780802,1.16422883225373,0.0643511759050411,COMPLETE
10006,80,0.5625,7.5,10,250,100000,2.30151455306576,1.16422883225373,0.197685754664782,COMPLETE
10007,80,0.5625,7.5,10,250,1000000,3.14898450607096,1.16422883225373,0.270478141309653,COMPLETE
10008,80,0.5625,7.5,10,250,10000000,0.376265717247972,1.16422883225373,0.0323188798304876,COMPLETE
10009,80,0.5625,7.5,10,250,100000000,0.0400010795602135,1.16422883225373,0.00343584340569704,COMPLETE
1001,20,8.578125,7.5,10,0,100000,333.207083243119,270.755967801008,0.123065462212825,COMPLETE
10010,80,0.5625,7.5,10,500,10000,1.43708191801029,1.16422883225373,0.123436379360952,COMPLETE
10011,80,0.5625,7.5,10,500,100000,2.22327367816978,1.16422883225373,0.190965351190104,COMPLETE
10012,80,0.5625,7.5,10,500,1000000,2.59648911858472,1.16422883225373,0.223022231253146,COMPLETE
10013,80,0.5625,7.5,10,500,10000000,0.44204685244219,1.16422883225373,0.0379690693269012,COMPLETE
10014,80,0.5625,7.5,10,500,100000000,0.0379245190219499,1.16422883225373,0.0032574797987553,COMPLETE
10015,80,0.5625,7.5,10,750,10000,0.437587600875464,1.16422883225373,0.0375860474120347,COMPLETE
10016,80,0.5625,7.5,10,750,100000,2.03099142238127,1.16422883225373,0.174449503921807,COMPLETE
10017,80,0.5625,7.5,10,750,1000000,2.76375255951549,1.16422883225373,0.237389118268561,COMPLETE
10018,80,0.5625,7.5,10,750,10000000,0.443102742364293,1.16422883225373,0.0380597636898005,COMPLETE
10019,80,0.5625,7.5,10,750,100000000,0.0328763940901859,1.16422883225373,0.00282387733230617,COMPLETE
1002,20,8.578125,7.5,10,0,1000000,466.325082851059,270.755967801008,0.172230768037506,COMPLETE
10020,80,0.5625,7.5,10,1000,10000,0.420247576551098,1.16422883225373,0.036096647403722,COMPLETE
10021,80,0.5625,7.5,10,1000,100000,2.00735424736349,1.16422883225373,0.172419217919353,COMPLETE
10022,80,0.5625,7.5,10,1000,1000000,2.76952658847165,1.16422883225373,0.237885071366113,COMPLETE
10023,80,0.5625,7.5,10,1000,10000000,0.373904045291271,1.16422883225373,0.0321160269298144,COMPLETE
10024,80,0.5625,7.5,10,1000,100000000,0.0375865832432327,1.16422883225373,0.00322845322173237,COMPLETE
10025,80,0.5625,7.5,20,0,10000,0.223133610573692,1.16422883225373,0.00958289317323242,COMPLETE
10026,80,0.5625,7.5,20,0,100000,2.78407740249681,1.16422883225373,0.119567447797498,COMPLETE
10027,80,0.5625,7.5,20,0,1000000,13.2561628131049,1.16422883225373,0.569310879693789,COMPLETE
10028,80,0.5625,7.5,20,0,10000000,4.18188836609705,1.16422883225373,0.179599072374874,COMPLETE
10029,80,0.5625,7.5,20,0,100000000,0.605237136852763,1.16422883225373,0.025993048792699,COMPLETE
1003,20,8.578125,7.5,10,0,10000000,64.3821990047538,270.755967801008,0.0237786814184172,COMPLETE
10030,80,0.5625,7.5,20,250,10000,0.414313579530509,1.16422883225373,0.0177934770232616,COMPLETE
10031,80,0.5625,7.5,20,250,100000,3.77170057557412,1.16422883225373,0.161982785131374,COMPLETE
10032,80,0.5625,7.5,20,250,1000000,9.55269590568948,1.16422883225373,0.410258517958074,COMPLETE
10033,80,0.5625,7.5,20,250,10000000,3.17245088759485,1.16422883225373,0.136246878607772,COMPLETE
10034,80,0.5625,7.5,20,250,100000000,0.550259092724689,1.16422883225373,0.0236319131377072,COMPLETE
